Entity,Code,Year,Oil (TWh growth)
Africa,,1966,28.316315
Africa,,1967,-1.2564697
Africa,,1968,21.17215
Africa,,1969,7.787567
Africa,,1970,36.87378
Africa,,1971,39.27835
Africa,,1972,36.424225
Africa,,1973,39.07434
Africa,,1974,19.93457
Africa,,1975,27.932495
Africa,,1976,54.914185
Africa,,1977,42.609985
Africa,,1978,37.170837
Africa,,1979,38.808655
Africa,,1980,46.97986
Africa,,1981,67.338135
Africa,,1982,41.039307
Africa,,1983,38.17224
Africa,,1984,17.33197
Africa,,1985,25.287903
Africa,,1986,-22.867737
Africa,,1987,54.1037
Africa,,1988,43.2312
Africa,,1989,35.764404
Africa,,1990,18.18396
Africa,,1991,5.9315186
Africa,,1992,22.268555
Africa,,1993,11.944946
Africa,,1994,38.08362
Africa,,1995,41.90625
Africa,,1996,27.324463
Africa,,1997,40.43225
Africa,,1998,31.325317
Africa,,1999,49.512207
Africa,,2000,3.5252686
Africa,,2001,14.900635
Africa,,2002,33.89453
Africa,,2003,44.318115
Africa,,2004,70.23193
Africa,,2005,69.74695
Africa,,2006,16.026245
Africa,,2007,62.845215
Africa,,2008,86.8208
Africa,,2009,64.246216
Africa,,2010,79.02417
Africa,,2011,-33.7157
Africa,,2012,120.34619
Africa,,2013,74.1322
Africa,,2014,21.719482
Africa,,2015,59.723877
Africa,,2016,15.451904
Africa,,2017,25.97461
Africa,,2018,22.305908
Africa,,2019,18.943115
Africa,,2020,-250.38354
Africa,,2021,183.73608
Africa,,2022,121.323975
Africa (EI),,1966,28.316315
Africa (EI),,1967,-1.2565002
Africa (EI),,1968,21.17218
Africa (EI),,1969,7.787567
Africa (EI),,1970,36.87381
Africa (EI),,1971,39.27829
Africa (EI),,1972,36.424255
Africa (EI),,1973,39.0744
Africa (EI),,1974,19.93451
Africa (EI),,1975,27.932556
Africa (EI),,1976,54.914124
Africa (EI),,1977,42.609985
Africa (EI),,1978,37.170837
Africa (EI),,1979,38.808655
Africa (EI),,1980,46.97986
Africa (EI),,1981,67.338135
Africa (EI),,1982,41.039246
Africa (EI),,1983,38.172302
Africa (EI),,1984,17.332031
Africa (EI),,1985,25.287842
Africa (EI),,1986,-22.867737
Africa (EI),,1987,54.1037
Africa (EI),,1988,43.23108
Africa (EI),,1989,35.764526
Africa (EI),,1990,18.184082
Africa (EI),,1991,5.9313965
Africa (EI),,1992,22.268555
Africa (EI),,1993,11.944946
Africa (EI),,1994,38.08362
Africa (EI),,1995,41.906372
Africa (EI),,1996,27.32434
Africa (EI),,1997,40.43225
Africa (EI),,1998,31.325195
Africa (EI),,1999,49.51233
Africa (EI),,2000,3.5252686
Africa (EI),,2001,14.900635
Africa (EI),,2002,33.89453
Africa (EI),,2003,44.318115
Africa (EI),,2004,70.23193
Africa (EI),,2005,69.74707
Africa (EI),,2006,16.026123
Africa (EI),,2007,62.845215
Africa (EI),,2008,86.8208
Africa (EI),,2009,64.24634
Africa (EI),,2010,79.023926
Africa (EI),,2011,-33.715454
Africa (EI),,2012,120.34619
Africa (EI),,2013,74.13208
Africa (EI),,2014,21.719482
Africa (EI),,2015,59.723877
Africa (EI),,2016,15.451904
Africa (EI),,2017,25.97461
Africa (EI),,2018,22.305908
Africa (EI),,2019,18.943115
Africa (EI),,2020,-250.38342
Africa (EI),,2021,183.73572
Africa (EI),,2022,121.323975
Algeria,DZA,1966,4.8674536
Algeria,DZA,1967,-1.3306751
Algeria,DZA,1968,1.2252712
Algeria,DZA,1969,1.1386299
Algeria,DZA,1970,3.041748
Algeria,DZA,1971,3.092369
Algeria,DZA,1972,2.681366
Algeria,DZA,1973,2.7789307
Algeria,DZA,1974,3.6434937
Algeria,DZA,1975,4.08683
Algeria,DZA,1976,6.087063
Algeria,DZA,1977,6.0887604
Algeria,DZA,1978,1.8014526
Algeria,DZA,1979,10.710674
