iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.898,0.652,-1.089,0.262,-0.47,-0.468,-0.295,0.532,0.105,0.394,0.69,0.583,-0.237,0.213,0.21,0.361,-0.048,0.49,0.988,-0.122,0.847,-0.058,-0.214,0.292,0.554,0.474,-0.016,0.592,0.795,1.301,1.109,1.366,1.384,0.615,1.427,0.491,1.78,0.736,0.804,0.929,1.646,1.446,0.234,1.308,0.457,1.101,1.607,1.568,1.58,0.96,0.544,1.421
ALB,-0.119,-0.2,-0.077,-0.299,-0.134,-0.203,-0.672,0.545,-0.822,0.225,-0.404,-0.313,0.237,-0.059,-0.212,-0.042,0.629,-0.049,0.43,-0.005,0.814,-0.263,0.105,0.117,1.37,-0.136,0.003,0.113,0.838,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322,1.665,1.601,1.269,2.146,1.823,1.623,1.682
DZA,0.114,-0.38,-0.342,-0.028,-0.502,-0.554,-0.817,0.519,0.029,0.661,0.214,0.2,0.388,0.576,0.007,0.513,0.299,0.99,1.346,0.386,1.27,0.034,-0.318,0.541,0.72,0.583,0.823,1.018,1.077,1.456,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676,1.101,1.736,1.498,1.211,1.094,1.913,2.317
ASM,-0.036,-0.473,-0.07,0.322,-0.317,-0.128,-0.186,0.149,0.086,0.335,0.335,0.172,0.249,0.288,0.255,0.234,0.371,0.33,0.516,0.163,0.516,0.82,0.674,0.196,0.286,0.798,0.772,,,0.243,0.67,0.948,1.196,0.719,0.215,0.844,0.446,0.894,0.46,,1.047,0.642,0.646,0.883,0.554,0.394,0.924,0.82,0.574,0.924,0.815,0.653
AND,0.081,-0.355,-0.526,-0.01,-0.412,0.207,-0.081,-0.111,-0.174,0.046,-0.199,0.167,1.048,0.856,-0.159,0.058,0.392,0.353,0.856,1.152,1.724,0.215,0.368,0.175,1.502,1.245,0.535,1.736,0.98,1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857,1.546,1.83,1.771,1.761,1.813,2.401,1.367
AGO,0.249,-0.092,-0.029,0.477,-0.152,-0.018,-0.309,0.255,0.04,0.302,0.29,0.019,0.235,0.597,0.722,0.724,0.199,0.808,0.677,0.097,0.808,0.44,0.606,0.401,0.373,0.88,0.511,0.361,1.264,0.591,0.316,0.425,0.868,1.058,0.558,1.21,0.636,0.955,0.601,0.744,1.303,0.923,0.576,1.09,0.879,1.43,1.847,1.064,1.504,1.975,1.387,1.631
AIA,0.084,-0.222,-0.137,0.194,-0.327,-0.31,-0.407,0.131,0.158,0.019,0.714,0.556,0.128,0.505,0.075,-0.04,-0.003,0.539,0.402,-0.1,0.344,0.394,0.36,0.477,0.513,0.661,0.392,0.54,1.126,0.598,0.276,0.611,0.776,0.918,0.549,0.826,0.6,0.876,0.344,0.577,1.107,0.507,0.652,0.778,0.821,1.07,1.164,0.98,0.728,0.861,1.246,0.91
ATG,0.08,-0.211,-0.174,0.203,-0.335,-0.382,-0.447,0.09,0.163,0.11,0.659,0.579,0.183,0.45,-0.049,-0.111,-0.094,0.571,0.309,-0.164,0.367,0.485,0.511,0.501,0.438,0.683,0.432,0.591,1.158,0.611,0.384,,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806,1.141,0.873
ARG,0.442,-0.263,-0.007,-0.155,-0.12,-0.031,-0.334,0.407,0.333,0.233,0.346,0.358,0.341,0.029,-0.109,0.292,0.456,0.435,-0.206,0.591,0.422,0.256,-0.253,0.084,0.486,0.254,0.515,0.762,0.35,0.158,-0.187,0.415,0.28,0.615,0.421,0.228,0.547,-0.219,0.55,0.793,0.102,0.36,0.787,0.437,0.951,0.953,0.492,1.1,0.876,0.756,1.109,1.011
ARM,,,,,,,,,,,,,,,,,,,,,,,-1.294,-0.947,0.479,0.708,0.499,0.672,1.371,1.527,1.038,1.412,1.125,0.117,1.144,0.51,1.627,0.682,0.811,0.681,2.805,0.676,1.272,1.407,1.258,1.921,1.339,0.901,2.781,1.853,1.966,2.212
