CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
оч╢щел,1960,1,121.00,24.95,1.6868,
оч╢щел,1960,2,121.00,24.95,0.0601501,
оч╢щел,1960,3,121.00,24.95,3.78194,
оч╢щел,1960,4,121.00,24.95,4.95436,
оч╢щел,1960,5,121.00,24.95,7.72525,
оч╢щел,1960,6,121.00,24.95,8.42748,
оч╢щел,1960,7,121.00,24.95,2.82146,
оч╢щел,1960,8,121.00,24.95,17.6154,
оч╢щел,1960,9,121.00,24.95,5.54466,
оч╢щел,1960,10,121.00,24.95,0.598759,
оч╢щел,1960,11,121.00,24.95,1.25004,
оч╢щел,1960,12,121.00,24.95,0.74818,
оч╢щел,1961,1,121.00,24.95,0.851802,
оч╢щел,1961,2,121.00,24.95,3.00936,
оч╢щел,1961,3,121.00,24.95,7.49512,
оч╢щел,1961,4,121.00,24.95,2.93156,
оч╢щел,1961,5,121.00,24.95,3.51022,
оч╢щел,1961,6,121.00,24.95,1.124,
оч╢щел,1961,7,121.00,24.95,1.87561,
оч╢щел,1961,8,121.00,24.95,0.20133,
оч╢щел,1961,9,121.00,24.95,4.12941,
оч╢щел,1961,10,121.00,24.95,0.0859889,
оч╢щел,1961,11,121.00,24.95,0.578697,
оч╢щел,1961,12,121.00,24.95,2.0397,
оч╢щел,1962,1,121.00,24.95,1.1188,
оч╢щел,1962,2,121.00,24.95,1.31191,
оч╢щел,1962,3,121.00,24.95,6.78706,
оч╢щел,1962,4,121.00,24.95,3.76277,
оч╢щел,1962,5,121.00,24.95,3.39003,
оч╢щел,1962,6,121.00,24.95,2.57146,
оч╢щел,1962,7,121.00,24.95,7.47151,
оч╢щел,1962,8,121.00,24.95,5.27632,
оч╢щел,1962,9,121.00,24.95,2.3469,
оч╢щел,1962,10,121.00,24.95,1.41474,
оч╢щел,1962,11,121.00,24.95,1.57423,
оч╢щел,1962,12,121.00,24.95,0.0691362,
оч╢щел,1963,1,121.00,24.95,0.0674362,
оч╢щел,1963,2,121.00,24.95,0.354127,
оч╢щел,1963,3,121.00,24.95,1.8477,
оч╢щел,1963,4,121.00,24.95,0.683397,
оч╢щел,1963,5,121.00,24.95,0.611345,
оч╢щел,1963,6,121.00,24.95,3.97428,
оч╢щел,1963,7,121.00,24.95,2.40178,
оч╢щел,1963,8,121.00,24.95,0,
оч╢щел,1963,9,121.00,24.95,15.1199,
оч╢щел,1963,10,121.00,24.95,0.00587544,
оч╢щел,1963,11,121.00,24.95,0.432475,
оч╢щел,1963,12,121.00,24.95,0.191725,
оч╢щел,1964,1,121.00,24.95,6.71484,
оч╢щел,1964,2,121.00,24.95,2.86423,
оч╢щел,1964,3,121.00,24.95,1.04493,
оч╢щел,1964,4,121.00,24.95,0,
оч╢щел,1964,5,121.00,24.95,1.45999,
оч╢щел,1964,6,121.00,24.95,7.02156,
оч╢щел,1964,7,121.00,24.95,0.000415747,
оч╢щел,1964,8,121.00,24.95,5.43507,
оч╢щел,1964,9,121.00,24.95,0.685628,
оч╢щел,1964,10,121.00,24.95,0.922925,
оч╢щел,1964,11,121.00,24.95,0.211926,
оч╢щел,1964,12,121.00,24.95,0.311125,
оч╢щел,1965,1,121.00,24.95,2.91558,
оч╢щел,1965,2,121.00,24.95,0.4315,
оч╢щел,1965,3,121.00,24.95,1.79314,
оч╢щел,1965,4,121.00,24.95,3.26862,
оч╢щел,1965,5,121.00,24.95,6.17212,
оч╢щел,1965,6,121.00,24.95,4.80945,
оч╢щел,1965,7,121.00,24.95,1.05721,
оч╢щел,1965,8,121.00,24.95,4.41353,
оч╢щел,1965,9,121.00,24.95,0.706163,
оч╢щел,1965,10,121.00,24.95,1.79826,
оч╢щел,1965,11,121.00,24.95,1.03417,
оч╢щел,1965,12,121.00,24.95,0.802619,
оч╢щел,1966,1,121.00,24.95,0.35313,
оч╢щел,1966,2,121.00,24.95,2.59489,
оч╢щел,1966,3,121.00,24.95,3.09647,
оч╢щел,1966,4,121.00,24.95,4.93224,
оч╢щел,1966,5,121.00,24.95,0.783007,
оч╢щел,1966,6,121.00,24.95,23.8658,
оч╢щел,1966,7,121.00,24.95,3.74427,
оч╢щел,1966,8,121.00,24.95,6.47481,
оч╢щел,1966,9,121.00,24.95,5.40061,
оч╢щел,1966,10,121.00,24.95,0.0776973,
оч╢щел,1966,11,121.00,24.95,0.0038606,
оч╢щел,1966,12,121.00,24.95,0.862683,
оч╢щел,1967,1,121.00,24.95,2.47933,
оч╢щел,1967,2,121.00,24.95,3.44137,
оч╢щел,1967,3,121.00,24.95,1.09081,
оч╢щел,1967,4,121.00,24.95,3.01765,
оч╢щел,1967,5,121.00,24.95,4.58149,
оч╢щел,1967,6,121.00,24.95,2.7295,
оч╢щел,1967,7,121.00,24.95,2.22987,
оч╢щел,1967,8,121.00,24.95,0.219108,
оч╢щел,1967,9,121.00,24.95,1.26,
оч╢щел,1967,10,121.00,24.95,3.43175,
оч╢щел,1967,11,121.00,24.95,0.213179,
оч╢щел,1967,12,121.00,24.95,0.665781,
оч╢щел,1968,1,121.00,24.95,0.45246,
оч╢щел,1968,2,121.00,24.95,9.00411,
оч╢щел,1968,3,121.00,24.95,4.87555,
оч╢щел,1968,4,121.00,24.95,2.33902,
оч╢щел,1968,5,121.00,24.95,10.2339,
оч╢щел,1968,6,121.00,24.95,14.9571,
оч╢щел,1968,7,121.00,24.95,0.548146,
оч╢щел,1968,8,121.00,24.95,2.57244,
оч╢щел,1968,9,121.00,24.95,1.06018,
оч╢щел,1968,10,121.00,24.95,0.809463,
оч╢щел,1968,11,121.00,24.95,0,
оч╢щел,1968,12,121.00,24.95,0.170661,
оч╢щел,1969,1,121.00,24.95,2.50951,
оч╢щел,1969,2,121.00,24.95,4.86894,
оч╢щел,1969,3,121.00,24.95,5.48706,
оч╢щел,1969,4,121.00,24.95,0.772862,
оч╢щел,1969,5,121.00,24.95,3.53054,
оч╢щел,1969,6,121.00,24.95,10.3275,
оч╢щел,1969,7,121.00,24.95,0.295225,
оч╢щел,1969,8,121.00,24.95,7.51704,
оч╢щел,1969,9,121.00,24.95,10.2016,
оч╢щел,1969,10,121.00,24.95,9.92136,
оч╢щел,1969,11,121.00,24.95,0.483955,
оч╢щел,1969,12,121.00,24.95,0.0549628,
оч╢щел,1970,1,121.00,24.95,3.20914,
оч╢щел,1970,2,121.00,24.95,0.609844,
оч╢щел,1970,3,121.00,24.95,9.22196,
оч╢щел,1970,4,121.00,24.95,1.54799,
оч╢щел,1970,5,121.00,24.95,6.43727,
оч╢щел,1970,6,121.00,24.95,2.42737,
оч╢щел,1970,7,121.00,24.95,0.874988,
оч╢щел,1970,8,121.00,24.95,10.445,
оч╢щел,1970,9,121.00,24.95,11.295,
оч╢щел,1970,10,121.00,24.95,1.09145,
оч╢щел,1970,11,121.00,24.95,0.418754,
оч╢щел,1970,12,121.00,24.95,3.12369,
оч╢щел,1971,1,121.00,24.95,3.03193,
оч╢щел,1971,2,121.00,24.95,1.21718,
оч╢щел,1971,3,121.00,24.95,1.27962,
