Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,CPU_vel,GPU_name_encoded,Ram,first_type_name_encoded,first_size,second_type_name_encoded,second_size,Touchscreen,Ips,Inches,ppi,os_name_encoded,Price
1,4,25,2.3,2,8,3,128,2,0,0,1,13.3,226.98300468106115,0,27800
1,4,25,1.8,2,8,0,128,2,0,0,0,13.3,127.67794013309688,0,18600
7,3,25,2.5,2,8,3,256,2,0,0,0,15.6,141.21199808219862,1,11900
1,4,26,2.7,0,16,3,512,2,0,0,1,15.4,220.53462386625827,0,52700
1,4,25,3.1,2,8,3,256,2,0,0,1,13.3,226.98300468106115,0,37400
0,3,11,3.0,0,4,1,0,2,0,0,0,15.6,100.45466986113651,2,8300
1,4,26,2.2,2,16,0,256,2,0,0,1,15.4,220.53462386625827,0,44400
1,4,25,1.8,2,8,0,256,2,0,0,0,13.3,127.67794013309688,0,24000
2,4,26,1.8,3,16,3,512,2,0,0,0,14.0,157.3505121487356,2,31000
0,4,25,1.6,2,8,3,256,2,0,0,1,14.0,157.3505121487356,2,15900
7,3,25,2.5,2,4,1,0,2,0,0,0,15.6,100.45466986113651,1,8100
7,3,24,2.0,2,4,1,0,2,0,0,0,15.6,141.21199808219862,1,7100
1,4,26,2.8,0,16,3,256,2,0,0,1,15.4,220.53462386625827,0,50700
4,3,24,2.0,0,4,3,256,2,0,0,0,15.6,141.21199808219862,2,10300
1,4,27,1.2,2,8,3,256,2,0,0,1,12.0,226.41554716935852,0,26200
1,4,25,2.3,2,8,3,256,2,0,0,1,13.3,226.98300468106115,0,31500
4,3,26,2.7,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,15400
1,4,26,2.9,0,16,3,512,2,0,0,1,15.4,220.53462386625827,0,59300
10,3,24,2.4,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,1,10300
4,4,25,1.6,2,8,3,128,2,0,1,1,13.3,165.6321180513006,2,20300
2,2,27,1.44,2,2,0,32,2,0,0,0,11.6,135.0942111925629,2,3900
10,1,25,2.5,3,8,3,128,0,1000,0,1,15.6,141.21199808219862,2,20700
7,3,19,1.5,0,4,1,0,2,0,0,0,15.6,100.45466986113651,1,5300
4,0,25,1.6,2,8,3,256,2,0,1,0,13.3,165.6321180513006,2,17000
7,4,26,1.8,2,8,3,256,2,0,0,0,15.6,141.21199808219862,2,13600
4,3,24,2.0,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,8600
1,4,25,1.6,2,8,0,128,2,0,0,0,13.3,127.67794013309688,0,22800
4,3,25,1.6,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,16600
4,4,26,1.9,2,8,3,256,3,256,0,0,15.6,141.21199808219862,2,26900
7,3,25,1.6,3,8,1,1000,2,0,0,0,17.3,127.33567457123111,2,18600
3,3,27,1.44,2,4,0,64,2,0,0,0,15.6,141.21199808219862,2,5000
2,3,17,1.5,0,2,0,32,2,0,0,0,14.0,111.93520355955211,2,4100
7,3,7,2.5,0,4,1,0,2,0,0,0,17.3,127.33567457123111,2,9100
4,4,26,1.8,2,16,3,512,2,0,1,0,13.3,276.053530085501,2,38800
1,4,25,1.6,2,8,0,256,2,0,0,0,13.3,127.67794013309688,0,20700
10,3,27,1.1,2,4,0,64,2,0,0,0,14.0,111.93520355955211,2,5100
0,3,24,2.7,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,1,7600
4,3,25,1.6,0,8,3,128,0,1000,0,1,17.3,127.33567457123111,2,20300
7,3,25,2.5,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,10100
7,3,25,1.6,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,18200
2,3,24,2.0,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,1,8000
4,1,26,2.8,3,16,3,256,0,1000,0,1,15.6,141.21199808219862,2,31100
2,3,25,2.5,3,8,1,1000,2,0,0,0,15.6,100.45466986113651,1,10800
0,3,25,1.6,2,4,3,256,2,0,0,1,15.6,141.21199808219862,2,14100
4,0,25,1.6,3,12,1,1000,2,0,1,0,17.3,127.33567457123111,2,20700
1,4,25,2.0,2,8,3,256,2,0,0,1,13.3,226.98300468106115,0,29400
10,3,24,2.0,2,4,3,128,2,0,0,0,15.6,100.45466986113651,1,7600
2,1,23,3.0,0,8,3,256,0,1000,0,0,17.3,127.33567457123111,2,26900
4,3,25,2.5,0,4,3,256,2,0,0,0,15.6,141.21199808219862,2,13200
2,3,27,1.1,3,4,1,1000,2,0,0,0,17.3,90.58340172449303,2,9600
10,0,27,1.44,2,4,0,64,2,0,1,1,10.1,224.17380907857276,1,6600
0,3,26,1.8,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,17400
7,3,7,2.5,0,4,3,256,2,0,0,0,15.6,141.21199808219862,2,8200
7,3,26,1.8,2,8,3,512,2,0,0,0,13.3,165.6321180513006,2,22900
0,3,24,2.4,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,7900
4,3,26,1.8,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,15900
