Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_brand,CPU_vel,GPU,first_size,first_type,second_size,second_type,Touchscreen,Ips,X_res,Y_res,ppi,os,Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,GPU_name_encoded,first_type_name_encoded,second_type_name_encoded,os_name_encoded
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128 SSD,Intel Iris Plus Graphics 640,macOS,1.37,27800,Intel Core i5,2.3,Intel,128,SSD,0,None,0,1,2560,1600,226.98300468106115,Mac,1,4,25,2,3,2,0
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128 Flash Storage,Intel HD Graphics 6000,macOS,1.34,18600,Intel Core i5,1.8,Intel,128,Flash,0,None,0,0,1440,900,127.67794013309688,Mac,1,4,25,2,0,2,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,No OS,1.86,11900,Intel Core i5,2.5,Intel,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,7,3,25,2,3,2,1
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512 SSD,AMD Radeon Pro 455,macOS,1.83,52700,Intel Core i7,2.7,AMD,512,SSD,0,None,0,1,2880,1800,220.53462386625827,Mac,1,4,26,0,3,2,0
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256 SSD,Intel Iris Plus Graphics 650,macOS,1.37,37400,Intel Core i5,3.1,Intel,256,SSD,0,None,0,1,2560,1600,226.98300468106115,Mac,1,4,25,2,3,2,0
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,0 HDD,AMD Radeon R5,Windows 10,2.1,8300,AMD A9-Series 9420,3.0,AMD,0,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,0,3,11,0,1,2,2
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256 Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,44400,Intel Core i7,2.2,Intel,256,Flash,0,None,0,1,2880,1800,220.53462386625827,Mac,1,4,26,2,0,2,0
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256 Flash Storage,Intel HD Graphics 6000,macOS,1.34,24000,Intel Core i5,1.8,Intel,256,Flash,0,None,0,0,1440,900,127.67794013309688,Mac,1,4,25,2,0,2,0
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512 SSD,Nvidia GeForce MX150,Windows 10,1.3,31000,Intel Core i7,1.8,Nvidia,512,SSD,0,None,0,0,1920,1080,157.3505121487356,Windows,2,4,26,3,3,2,2
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.6,15900,Intel Core i5,1.6,Intel,256,SSD,0,None,0,1,1920,1080,157.3505121487356,Windows,0,4,25,2,3,2,2
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,0 HDD,Intel HD Graphics 620,No OS,1.86,8100,Intel Core i5,2.5,Intel,0,HDD,0,None,0,0,1366,768,100.45466986113651,Others/No OS/Linux,7,3,25,2,1,2,1
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,0 HDD,Intel HD Graphics 520,No OS,1.86,7100,Intel Core i3,2.0,Intel,0,HDD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,7,3,24,2,1,2,1
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256 SSD,AMD Radeon Pro 555,macOS,1.83,50700,Intel Core i7,2.8,AMD,256,SSD,0,None,0,1,2880,1800,220.53462386625827,Mac,1,4,26,0,3,2,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,10300,Intel Core i3,2.0,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,24,0,3,2,2
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256 SSD,Intel HD Graphics 615,macOS,0.92,26200,Other Intel Processor,1.2,Intel,256,SSD,0,None,0,1,2304,1440,226.41554716935852,Mac,1,4,27,2,3,2,0
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256 SSD,Intel Iris Plus Graphics 640,macOS,1.37,31500,Intel Core i5,2.3,Intel,256,SSD,0,None,0,1,2560,1600,226.98300468106115,Mac,1,4,25,2,3,2,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,15400,Intel Core i7,2.7,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,26,0,3,2,2
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512 SSD,AMD Radeon Pro 560,macOS,1.83,59300,Intel Core i7,2.9,AMD,512,SSD,0,None,0,1,2880,1800,220.53462386625827,Mac,1,4,26,0,3,2,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1000 HDD,Nvidia GeForce 940MX,No OS,2.2,10300,Intel Core i3,2.4,Nvidia,1000,HDD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,10,3,24,3,1,2,1
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD,Intel UHD Graphics 620,Windows 10,1.22,20300,Intel Core i5,1.6,Intel,128,SSD,0,None,1,1,1920,1080,165.6321180513006,Windows,4,4,25,2,3,2,2
